type,size,num,app,prefetch,flush,read,write,total,all
2,10,0,wrf,5.529,0.000,6.983,33.388,221.807,652.398
2,10,0,nyx,16.952,0.000,0.000,10.570,194.720,652.398
2,10,0,warpx,52.795,99.986,0.000,17.495,235.871,652.398
2,10,1,wrf,3.713,0.000,7.106,28.540,218.720,690.840
2,10,1,nyx,17.026,0.000,0.000,10.254,194.390,690.840
2,10,1,warpx,64.936,98.633,0.000,18.408,277.730,690.840
2,10,2,wrf,4.298,0.000,9.482,30.202,217.171,656.084
2,10,2,nyx,16.415,0.000,0.000,10.726,193.374,656.084
2,10,2,warpx,69.929,93.896,0.000,18.387,245.539,656.084
2,15,0,wrf,4.037,0.000,7.519,24.768,206.295,544.278
2,15,0,nyx,16.337,0.000,0.000,10.399,194.390,544.278
2,15,0,warpx,52.612,0.000,0.000,18.408,143.593,544.278
2,15,1,wrf,5.419,0.000,10.783,36.921,214.663,537.038
2,15,1,nyx,16.572,0.000,0.000,10.658,194.636,537.038
2,15,1,warpx,51.616,0.000,0.000,19.828,127.739,537.038
2,15,2,wrf,6.123,0.000,10.343,30.232,207.146,536.255
2,15,2,nyx,16.566,0.000,0.000,10.567,195.554,536.255
2,15,2,warpx,50.156,0.000,0.000,18.326,133.555,536.255
2,20,0,wrf,3.799,0.000,8.254,36.032,216.160,531.695
2,20,0,nyx,16.549,0.000,0.000,10.713,194.820,531.695
2,20,0,warpx,52.682,0.000,0.000,17.480,120.715,531.695
2,30,0,wrf,3.754,0.000,5.959,32.434,215.698,538.391
2,30,0,nyx,16.552,0.000,0.000,10.319,194.209,538.391
2,30,0,warpx,51.180,0.000,0.000,17.541,128.484,538.391
2,40,0,wrf,3.337,0.000,6.082,28.909,179.250,512.364
2,40,0,nyx,22.721,0.000,0.000,10.443,199.941,512.364
2,40,0,warpx,51.618,0.000,0.000,17.333,133.173,512.364
2,50,0,wrf,6.313,0.000,8.857,30.313,184.772,513.443
2,50,0,nyx,18.721,0.000,0.000,10.506,195.809,513.443
2,50,0,warpx,50.942,0.000,0.000,17.210,132.862,513.443
