type,size,num,app,prefetch,flush,read,write,total,all
1,10,0,wrf,3.794,0.000,11.576,86.806,265.937,1040.665
1,10,0,nyx,27.307,0.000,0.000,157.190,361.036,1040.665
1,10,0,warpx,105.555,230.002,0.000,59.265,413.692,1040.665
1,10,1,wrf,3.337,0.000,8.753,86.021,248.361,1033.774
1,10,1,nyx,28.219,0.000,0.000,159.592,365.312,1033.774
1,10,1,warpx,91.714,222.389,0.000,51.183,420.101,1033.774
1,10,2,wrf,3.289,0.000,7.911,91.027,273.114,1069.482
1,10,2,nyx,25.863,0.000,0.000,168.417,371.503,1069.482
1,10,2,warpx,100.415,236.594,0.000,50.834,424.865,1069.482
1,10,3,wrf,3.135,0.000,7.149,79.332,238.126,1069.010
1,10,3,nyx,26.999,0.000,0.000,162.340,366.325,1069.010
1,10,3,warpx,101.375,237.034,0.000,54.504,464.559,1069.010
1,15,0,wrf,10.363,0.000,7.947,94.563,269.707,839.726
1,15,0,nyx,25.957,0.000,0.000,142.266,330.945,839.726
1,15,0,warpx,89.830,15.236,0.000,61.217,239.074,839.726
1,15,1,wrf,4.565,0.000,10.665,106.310,286.728,866.352
1,15,1,nyx,25.925,0.000,0.000,148.840,337.944,866.352
1,15,1,warpx,79.072,20.713,0.000,66.467,241.680,866.352
1,15,2,wrf,2.796,0.000,10.410,93.598,289.371,899.739
1,15,2,nyx,24.316,0.000,0.000,148.275,341.912,899.739
1,15,2,warpx,119.961,26.294,0.000,66.683,268.456,899.739
1,15,3,wrf,2.472,0.000,11.088,92.881,286.817,876.376
1,15,3,nyx,24.721,0.000,0.000,151.722,348.386,876.376
1,15,3,warpx,91.709,14.420,0.000,69.681,241.173,876.376
1,20,0,wrf,4.988,0.000,11.132,87.290,273.601,833.991
1,20,0,nyx,29.523,0.000,0.000,141.552,346.224,833.991
1,20,0,warpx,90.544,0.000,0.000,62.971,214.166,833.991
1,20,1,wrf,3.989,0.000,8.361,92.804,280.586,847.387
1,20,1,nyx,27.101,0.000,0.000,144.932,349.429,847.387
1,20,1,warpx,101.935,0.000,0.000,55.627,217.372,847.387
1,20,2,wrf,10.490,0.000,8.242,90.123,268.587,854.359
1,20,2,nyx,28.211,0.000,0.000,144.584,347.464,854.359
1,20,2,warpx,100.907,0.000,0.000,58.433,238.308,854.359
1,30,0,wrf,3.464,0.000,6.176,81.959,236.934,817.268
1,30,0,nyx,26.803,0.000,0.000,144.591,350.474,817.268
1,30,0,warpx,101.712,0.000,0.000,54.447,229.860,817.268
1,30,1,wrf,5.313,0.000,6.357,81.862,246.105,804.977
1,30,1,nyx,26.732,0.000,0.000,156.554,321.582,804.977
1,30,1,warpx,98.059,0.000,0.000,56.328,237.290,804.977
1,40,0,wrf,4.698,0.000,7.061,81.756,243.936,785.782
1,40,0,nyx,26.608,0.000,0.000,144.512,343.567,785.782
1,40,0,warpx,84.780,0.000,0.000,54.949,198.279,785.782
1,50,0,wrf,10.575,0.000,5.654,96.540,264.728,785.694
1,50,0,nyx,29.072,0.000,0.000,143.910,320.695,785.694
1,50,0,warpx,79.595,0.000,0.000,59.587,200.271,785.694
